path,name,size,sha256,package,version,declared_license,source,classification,required_action,evidence
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\imageformats\qtga.dll,qtga.dll,39136,f30551c3f5001641540fcec45192d8cfef201e42b94ff47c39b3ce84ce5b479c,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\imageformats\qtiff.dll,qtiff.dll,442592,940145c9aad82d99c06e804fa7a5ccfd763203f7307e68a5cf464d625720abcb,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\imageformats\qwbmp.dll,qwbmp.dll,37600,646e760b11217f0ef1b1b9bfdfb377b7eba270369ab39c4bf955278531c9dfd4,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\imageformats\qwebp.dll,qwebp.dll,562912,230dc55d3521953d74659141fe06d9c3f1813555507142a73e745becb7413892,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\multimedia\ffmpegmediaplugin.dll,ffmpegmediaplugin.dll,632544,75c70afaa74659b4686869d536cb0ca19414ddb2e895ee59a421c55370268fab,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\multimedia\windowsmediaplugin.dll,windowsmediaplugin.dll,288992,cd3e1ddbcf2735c5df4a0be2ce2e3f1521635eb5922f09900d1d1127cca7daef,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\networkinformation\qnetworklistmanager.dll,qnetworklistmanager.dll,71904,c35d1cc71894bbfc1bfebc1e58ea44ee39c5f03365f6413e1c9a7da9c01f5448,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\platforminputcontexts\qtvirtualkeyboardplugin.dll,qtvirtualkeyboardplugin.dll,34528,714d2164ed65906446f25861b4f8765dd21ec6227dfa8aa95066bbc6130e4260,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,REVIEW - Qt Virtual Keyboard has module-specific licensing; verify commercial/GPL/LGPL availability before release.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\platforms\qdirect2d.dll,qdirect2d.dll,1079008,2465439563b82e2032e511203c7ab5456167c89ecaefbcf7e5df24ec9c2e2194,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\platforms\qminimal.dll,qminimal.dll,62176,fd3c540ff3f8c668f2eff399375326062b4050e7d8e8933f9aea0d52a1aa2ec8,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\platforms\qoffscreen.dll,qoffscreen.dll,114400,e4ad3e81d0bbdab0dca617060f51cf9303dfb456e8f9d8aaf75786d3a19a8a3d,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\platforms\qwindows.dll,qwindows.dll,997088,55fdb6d1fb328d9c9b6c284d9a1e7c3e97eb774b45a64ae2ccd57b090863a305,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\styles\qmodernwindowsstyle.dll,qmodernwindowsstyle.dll,224992,4c4d1e221ba2384360ce34e735910470a03a64f9ed41440e6895d5d7d9a811e1,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\tls\qcertonlybackend.dll,qcertonlybackend.dll,103136,2b49cb5369b4f06e241be226f192242d99b40b8bd371d78bf5eab17e5fa93dd7,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\tls\qopensslbackend.dll,qopensslbackend.dll,315616,440878c3887289eac86fbeafb85094af09546894f2e7c1b30f08330a8370ebeb,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\plugins\tls\qschannelbackend.dll,qschannelbackend.dll,259808,0e4f0bc8aecd31d5f2a7255b38fc5b538edea8ff70907f751d7da77586b76501,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\pyside6.abi3.dll,pyside6.abi3.dll,260320,e9fbf3fbd8b97f9dee645ece52789643e7472537cd035d07c0aacab3bc6e6047,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6Core.dll,Qt6Core.dll,10107104,35039e568fefe592098dca5b5b79d1e907687f9769e6b797be323b023218b2ee,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6Gui.dll,Qt6Gui.dll,9446112,79c426ba4debf971c3dc38b38192cbcc5d536b2a92299d6d82cf946643beb397,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6Multimedia.dll,Qt6Multimedia.dll,1227488,916110a3003c1c1a6ba212217629622595c99cae28153fb0eb41142ab3f70523,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6MultimediaWidgets.dll,Qt6MultimediaWidgets.dll,62176,b4cc85ad36ca7c49096cc70353953c14c2a8237e8f2d4d5f0ca1f8591b8b96df,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6Network.dll,Qt6Network.dll,1741024,9ec562e4a338e3bdee306877f9b10130fba412e3eaddd15215cb6f7dfcc21083,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6OpenGL.dll,Qt6OpenGL.dll,1976544,b615617c057ae70d0ac68333f3b1d74579fe385bc7fc083957545e14611c9b3a,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6OpenGLWidgets.dll,Qt6OpenGLWidgets.dll,65248,4aa34c33e642d76e823f039b2d3428c49abbeb69b36f2f8f8e985cdffceec637,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6Pdf.dll,Qt6Pdf.dll,5524704,7e0d11e23888ba7b3b7209dc118b66895679f8fda136b0eda8c52d9464f91f79,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6Qml.dll,Qt6Qml.dll,5308128,31c55986eff1d3134df2c9ad4a21acc7b39215ce210fb657e8b87cd369c06c26,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6QmlMeta.dll,Qt6QmlMeta.dll,155872,16dada7343075bb4013f6dfbfa7892ebd0b5d3990f0b35801e8886ca851eb39a,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6QmlModels.dll,Qt6QmlModels.dll,979168,9dd8312e9141d311143c32d334961c5675f373abc73fce16c898cfff4586b5fd,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6QmlWorkerScript.dll,Qt6QmlWorkerScript.dll,77024,e60f02d65fd404fb7e8f4e570894e14c3e1e2b9883a517dc68f495cfc4826039,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6Quick.dll,Qt6Quick.dll,6477024,373d77cbf476620a7633305c8ada64789f8e15f1466d74f5c9541aed033f895f,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6Svg.dll,Qt6Svg.dll,623328,e15b52e3d7e0a2cd84d6cdf4150d880264e29b1fe9805dc23992657fd2058fb3,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6VirtualKeyboard.dll,Qt6VirtualKeyboard.dll,430304,4f4678dabc4c86a31120bbe05efd8018f94d361e10d4c024f8eb7b5f889f0331,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,REVIEW - Qt Virtual Keyboard has module-specific licensing; verify commercial/GPL/LGPL availability before release.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\Qt6Widgets.dll,Qt6Widgets.dll,6558944,4d68fdd9853b1885e009343e90bb771ffb2faa4eb8de4369d518aab725fd954c,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\QtCore.pyd,QtCore.pyd,3265760,c9d7bac7b90833160945fa0d69a4ce87a804b5ca257b40dbf189c852efb12a6d,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\QtGui.pyd,QtGui.pyd,3867872,97612d89bc8a10389751fa96542a49a7b290ac598cb4e6310d0d9afcfc99bed9,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\QtMultimedia.pyd,QtMultimedia.pyd,568544,c1ec760508822b4ecaf0ddb453e8c76ca7d89617b6c23c183f48d9113f38ad97,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\QtMultimediaWidgets.pyd,QtMultimediaWidgets.pyd,142048,0e16d8b997d36ca19f92c7d189895ebe85d9173aab05ad24252bf0a3591ef0aa,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
C:\NovaWall\Movaura\dist\standalone\Movaura\_internal\PySide6\QtNetwork.pyd,QtNetwork.pyd,1000160,53f1c164055bdee206ead2c1ca8bcbed1a4dd70a1258d7e058f867eeacdfe318,PySide6/Qt,6.10.0,LGPL-3.0-or-commercial (Qt/PySide distribution; verify module-specific notices),PySide6 6.10.0 wheel / PyInstaller artifact,LGPL REVIEW REQUIRED,KEEP - collected by PyInstaller or runtime dependency; legal review required.,Local standalone artifact inventory; module-specific legal status must be checked against official Qt documentation.
